expert.level,country,ASA.Class,Apfel.Score,NYHA.Score,ARISCAT.Score,rRCI,POSPOM,method.future.evaluation,who.obtains,online.legal,online.possible.internet,online.possible.telefon,lack of contact,impossible to observe behavior,no relation,no confidence,legal requirenments,unsure if illigal,no anamnestic info,Less stressful,Less waiting,Standardized questionaires,More efficient than face-to-face,Obtain.both.parents.complex,Obtain.both.parents.simple,parents.legal.online,id.card,id.card.needed
Consultant,Italy,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Different (please comment),Different (please comment),Different (please commment),No,Different (please commment)
Consultant,Germany,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Resident,No,Different (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,NA,NA,NA,NA,NA
Consultant,Sweden,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Different (please comment),Different (please comment),No,No,Different (please commment)
Other,Germany,Not selected,Yes,Yes,Not selected,Not selected,Not selected,in person,other,I do not know,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,"Just the one, who is present",Always both parents,Yes,Yes,Yes
Consultant,Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Germany,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Always both parents,Different (please comment),No,Yes,Yes
Anaesthesia technician,Russia,Yes,Yes,Not selected,Not selected,Not selected,Not selected,in person,Anaesthesia technician,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Switzerland,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,France,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,Different (please comment),Different (please comment),Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Always both parents,Always both parents,No,No,No
Consultant,Netherlands,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Different (please comment),Different (please comment),Different (please commment),No,Different (please commment)
Consultant,Estonia,Yes,Yes,Yes,Not selected,Not selected,Not selected,online via videoconference,Resident,I do not know,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,No,Yes
Resident,Germany,Yes,Yes,Yes,Not selected,Not selected,Not selected,online via videoconference,Resident,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Croatia,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Spain,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via videoconference,Consultant,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Switzerland,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Switzerland,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,Yes,Yes,Not selected,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Germany,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Resident,Yes,No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,"Just the one, who is present",Yes,Yes,Yes
Resident,Germany,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,"Just the one, who is present",Different (please commment),No,Yes
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,Yes,Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Yes,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Resident,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Resident,I do not know,No (please comment),Different (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,Different (please commment),Yes
Consultant,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Germany,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Always both parents,Always both parents,No,No,Different (please commment)
Resident,Germany,Yes,Yes,Yes,Not selected,Yes,Not selected,NA,Consultant,I do not know,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Different (please comment),Different (please comment),Yes,No,No
Consultant,Netherlands,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,via telefone,Resident,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,Yes
Consultant,Switzerland,Yes,Yes,Yes,Not selected,Not selected,Not selected,online via videoconference,Consultant,Yes,No (please comment),Yes,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Germany,Yes,Yes,Yes,Not selected,Yes,Not selected,online via videoconference,Resident,Yes,Yes,No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,No
Other,Germany,Yes,Not selected,Yes,Not selected,Yes,Not selected,online via videoconference,Resident,I do not know,Different (please comment),Different (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Yes,Yes,Yes,Always both parents,Always both parents,Different (please commment),Yes,Yes
Resident,Germany,Yes,Yes,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Not selected,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Croatia,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,Yes
Resident,Portugal,Yes,Not selected,Yes,Yes,Not selected,Not selected,in person,Resident,I do not know,Different (please comment),Different (please comment),Yes,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,No
Resident,Germany,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Consultant,I do not know,No (please comment),Yes,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Yes,Always both parents,"Just the one, who is present",No,No,Different (please commment)
Consultant,Sweden,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),Different (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Different (please commment),Yes,Yes
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),No (please comment),Yes,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Spain,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,Yes,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,"Just the one, who is present","Just the one, who is present",Yes,No,Yes
Consultant,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Austria,Yes,Not selected,Yes,Not selected,Yes,Yes,in person,Resident,Yes,Different (please comment),Different (please comment),Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,Different (please commment)
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Netherlands,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Consultant,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,Yes
Consultant,United Kingdom (UK),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,via telefone,Consultant,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",Yes,Yes,No
Resident,Turkey,Yes,Not selected,Yes,Not selected,Yes,Not selected,in person,Resident,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Greece,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Resident,No,No (please comment),No (please comment),Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Different (please commment)
Other,France,Yes,Yes,Not selected,Not selected,Not selected,Not selected,in person,other,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Yes,Not selected,Yes,Not selected,in person,Resident,No,Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,No,Yes
Resident,Germany,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Always both parents,"Just the one, who is present",Yes,No,Yes
Resident,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,Different (please comment),Different (please comment),Yes,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Resident,Greece,Yes,Yes,Not selected,Yes,Not selected,Not selected,online via patient´s self assessment,Resident,I do not know,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,No,Yes
Resident,Sweden,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,Not selected,Different (please comment),Different (please comment),Different (please commment),Different (please commment),No
Consultant,France,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),NA,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,No,Yes,Yes
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,Different (please comment),Different (please comment),Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Different (please comment),NA,NA,NA,NA
Consultant,Spain,Yes,Not selected,Yes,Yes,Not selected,Not selected,online via videoconference,Consultant,No,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Germany,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Yes,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",NA,No,No
Consultant,Czechia,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Yes,Yes,Yes,Not selected,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Germany,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,Yes,No (please comment),Yes,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Different (please comment),Different (please comment),Yes,No,Yes
Consultant,Slovakia,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Consultant,No,Different (please comment),Different (please comment),Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Resident,Croatia,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,other,I do not know,No (please comment),No (please comment),Yes,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),No (please comment),Not selected,Not selected,Yes,Not selected,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Always both parents,Always both parents,No,No,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Yes,Yes,Yes,Not selected,Not selected,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Portugal,Yes,Yes,Not selected,Yes,Not selected,Not selected,in person,other,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Croatia,Yes,Not selected,Yes,Not selected,Yes,Not selected,in person,Resident,Yes,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Yes,Not selected,NA,NA,NA,NA,NA
Consultant,Finland,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Special trained nurse,I do not know,No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Different (please comment),Different (please comment),NA,No,No
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Resident,No,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,No
Consultant,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Greece,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Consultant,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Yes,No
Consultant,Portugal,Yes,Yes,Not selected,Not selected,Yes,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Not selected,Not selected,Yes,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Resident,Austria,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,Yes,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,Yes
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Special trained nurse,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Resident,Germany,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Different (please comment),"Just the one, who is present",No,No,No
Consultant,Portugal,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Resident,I do not know,No (please comment),No (please comment),Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Slovenia,Yes,Not selected,Yes,Not selected,Yes,Not selected,in person,Consultant,No,No (please comment),Different (please comment),Yes,Yes,Yes,Not selected,Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Different (please commment)
Consultant,Other,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Resident,Yes,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Yes,Yes
Anaesthesia technician,Romania,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Anaesthesia technician,I do not know,Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Resident,Portugal,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),No (please comment),Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Belgium,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Always both parents,Always both parents,No,No,Yes
Consultant,Other,Yes,Yes,Not selected,Not selected,Not selected,Not selected,in person,Consultant,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resident,Ireland,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Resident,No,No (please comment),Different (please comment),Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Different (please comment),"Just the one, who is present",No,No,Yes
Consultant,Romania,Yes,Yes,Yes,Not selected,Yes,Not selected,online via videoconference,Consultant,No,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,other,I do not know,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Resident,Israel,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resident,Portugal,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Yes,Yes
Resident,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,NA,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,NA,NA,NA
Resident,Turkey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Germany,Yes,Yes,Yes,Not selected,Not selected,Not selected,online via videoconference,Consultant,Yes,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Yes,Not selected,Not selected,NA,NA,NA,NA,NA
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Ukraine,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,Yes,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Different (please commment),No,No
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Austria,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Other,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,Different (please comment),Different (please comment),Yes,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Resident,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Yes,Yes,Always both parents,"Just the one, who is present",No,No,Yes
Other,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Yes,Yes
Consultant,Italy,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,No,No,No
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Other,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,other,No,No (please comment),No (please comment),Yes,Not selected,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Spain,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Switzerland,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,Yes,No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Yes,Yes
